OrderID,OrderDate,ProductID,RegionID,Quantity,UnitPrice,Revenue,Cost,OrderStatus
ORD-1142,2024-02-11,P003,R08,26,114.36,2973.36,2210,Pending
ORD-1143,2024-07-04,P010,R07,39,195.2,7612.8,5460,Cancelled
ORD-1144,2025-04-26,P006,R07,23,81.01,1863.23,1495,Completed
ORD-1145,2024-06-13,P006,R07,48,84.41,4051.68,3120,Completed
ORD-1146,2025-02-14,P009,R01,26,64.7,1682.2,1430,Completed
ORD-1147,2024-04-28,P007,R01,39,253.95,9904.05,7020,Completed
ORD-1148,2024-02-25,P004,R06,30,289.16,8674.8,6300,Completed
ORD-1149,2024-02-22,P004,R05,27,249.75,6743.25,5670,Completed
ORD-1150,2025-12-16,P008,R02,4,136.98,547.92,380,Completed
ORD-1151,2024-09-02,P003,R05,40,98.1,3924.0,3400,Completed
ORD-1152,2024-08-18,P002,R08,7,161.32,1129.24,840,Completed
ORD-1153,2024-10-25,P009,R05,33,77.02,2541.66,1815,Cancelled
ORD-1154,2024-09-06,P008,R03,28,114.68,3211.04,2660,Completed
ORD-1155,2024-05-19,P002,R05,28,150.24,4206.72,3360,Completed
ORD-1156,2024-09-30,P001,R05,52,55.78,2900.56,2340,Completed
ORD-1157,2025-11-06,P008,R03,46,124.6,5731.6,4370,Completed
ORD-1158,2025-07-19,P009,R07,33,78.64,2595.12,1815,Completed
ORD-1159,2025-12-15,P004,R07,25,295.43,7385.75,5250,Completed
ORD-1160,2024-11-21,P008,R07,35,137.42,4809.7,3325,Completed
ORD-1161,2025-10-29,P003,R08,5,100.97,504.85,425,Cancelled
ORD-1162,2024-12-05,P002,R08,11,156.93,1726.23,1320,Completed
ORD-1163,2024-05-27,P007,R03,6,232.35,1394.1,1080,Cancelled
ORD-1164,2024-12-12,P010,R07,60,164.37,9862.2,8400,Completed
ORD-1165,2025-11-21,P009,R07,34,73.59,2502.06,1870,Completed
ORD-1166,2025-05-14,P009,R01,47,64.38,3025.86,2585,Completed
ORD-1167,2024-10-21,P004,R02,34,303.14,10306.76,7140,Completed
ORD-1168,2025-12-21,P002,R08,19,162.98,3096.62,2280,Pending
ORD-1169,2024-02-17,P006,R01,15,81.74,1226.1,975,Completed
ORD-1170,2024-09-07,P009,R07,41,74.5,3054.5,2255,Completed
ORD-1171,2024-06-28,P002,R07,43,162.59,6991.37,5160,Completed
ORD-1172,2025-08-20,P003,R04,30,114.02,3420.6,2550,Completed
ORD-1173,2025-11-13,P001,R08,31,60.9,1887.9,1395,Completed
ORD-1174,2025-03-28,P006,R05,41,93.51,3833.91,2665,Completed
ORD-1175,2025-04-12,P005,R04,26,492.1,12794.6,9100,Completed
ORD-1176,2025-01-25,P010,R06,34,173.43,5896.62,4760,Completed
ORD-1177,2024-01-23,P007,R05,1,237.56,237.56,180,Completed
ORD-1178,2024-02-20,P010,R08,15,193.58,2903.7,2100,Completed
ORD-1179,2024-12-26,P004,R04,57,257.29,14665.53,11970,Completed
ORD-1180,2025-11-06,P003,R02,65,114.23,7424.95,5525,Completed
ORD-1181,2025-03-27,P001,R06,46,53.52,2461.92,2070,Pending
ORD-1182,2024-11-30,P007,R03,18,214.14,3854.52,3240,Completed
ORD-1183,2025-01-09,P009,R05,11,67.49,742.39,605,Completed
ORD-1184,2025-05-08,P005,R06,10,451.67,4516.7,3500,Completed
ORD-1185,2024-08-19,P007,R06,5,249.7,1248.5,900,Completed
ORD-1186,2025-07-03,P002,R08,27,162.22,4379.94,3240,Completed
ORD-1187,2025-08-21,P007,R06,7,243.44,1704.08,1260,Completed
ORD-1188,2025-09-26,P009,R06,51,66.9,3411.9,2805,Completed
ORD-1189,2025-04-20,P005,R07,9,417.18,3754.62,3150,Pending
ORD-1190,2024-11-07,P008,R02,10,115.94,1159.4,950,Completed
ORD-1191,2025-02-01,P008,R06,37,136.31,5043.47,3515,Completed
ORD-1192,2025-07-07,P007,R03,30,242.37,7271.1,5400,Completed
ORD-1193,2025-09-22,P007,R05,5,244.28,1221.4,900,Completed
ORD-1194,2025-03-31,P004,R06,7,303.3,2123.1,1470,Completed
ORD-1195,2025-10-22,P006,R01,37,80.13,2964.81,2405,Cancelled
ORD-1196,2025-04-10,P002,R04,44,161.02,7084.88,5280,Cancelled
ORD-1197,2024-02-21,P006,R04,7,90.1,630.7,455,Completed
ORD-1198,2025-07-21,P004,R04,17,262.2,4457.4,3570,Completed
ORD-1199,2025-09-02,P001,R05,13,65.08,846.04,585,Completed
ORD-1200,2024-06-27,P002,R01,10,138.53,1385.3,1200,Completed
ORD-1201,2024-08-31,P010,R06,2,168.32,336.64,280,Completed
ORD-1202,2025-03-07,P009,R02,47,64.3,3022.1,2585,Completed
ORD-1203,2025-01-05,P009,R02,27,71.56,1932.12,1485,Pending
ORD-1204,2024-02-14,P009,R05,23,73.87,1699.01,1265,Completed
ORD-1205,2025-05-05,P007,R07,51,212.83,10854.33,9180,Completed
ORD-1206,2025-03-30,P002,R02,21,159.9,3357.9,2520,Completed
ORD-1207,2024-10-08,P010,R06,31,202.77,6285.87,4340,Completed
ORD-1208,2025-04-09,P009,R07,8,76.34,610.72,440,Completed
ORD-1209,2025-11-01,P009,R04,45,70.7,3181.5,2475,Completed
ORD-1210,2024-12-13,P008,R07,39,130.04,5071.56,3705,Completed
ORD-1211,2024-11-16,P005,R06,14,474.62,6644.68,4900,Completed
ORD-1212,2024-04-03,P002,R02,26,141.48,3678.48,3120,Completed
ORD-1213,2024-05-13,P009,R01,39,79.03,3082.17,2145,Completed
ORD-1214,2025-11-17,P002,R07,37,169.45,6269.65,4440,Pending
ORD-1215,2025-03-09,P001,R05,39,55.97,2182.83,1755,Completed
ORD-1216,2025-06-03,P004,R03,53,271.88,14409.64,11130,Completed
ORD-1217,2024-12-24,P009,R06,12,75.83,909.96,660,Completed
ORD-1218,2025-03-15,P009,R01,39,78.58,3064.62,2145,Completed
ORD-1219,2024-09-30,P001,R03,20,61.24,1224.8,900,Completed
ORD-1220,2024-12-13,P006,R01,18,91.71,1650.78,1170,Completed
ORD-1221,2025-02-14,P002,R03,42,160.79,6753.18,5040,Completed
ORD-1222,2025-06-27,P004,R07,33,270.08,8912.64,6930,Completed
ORD-1223,2024-11-15,P006,R02,6,77.78,466.68,390,Completed
ORD-1224,2024-02-20,P002,R05,22,161.83,3560.26,2640,Completed
ORD-1225,2025-03-28,P007,R05,14,247.77,3468.78,2520,Completed
ORD-1226,2025-03-16,P002,R05,43,162.43,6984.49,5160,Completed
ORD-1227,2025-11-14,P005,R01,24,444.0,10656.0,8400,Completed
ORD-1228,2024-01-08,P004,R05,12,289.84,3478.08,2520,Completed
ORD-1229,2024-10-23,P006,R02,2,84.45,168.9,130,Completed
ORD-1230,2024-05-12,P007,R04,34,237.17,8063.78,6120,Completed
ORD-1231,2024-12-28,P002,R07,68,139.52,9487.36,8160,Completed
ORD-1232,2024-03-20,P006,R07,32,82.64,2644.48,2080,Completed
ORD-1233,2024-10-23,P002,R07,3,172.78,518.34,360,Completed
ORD-1234,2025-09-24,P008,R06,8,121.7,973.6,760,Completed
ORD-1235,2025-03-22,P010,R07,34,164.3,5586.2,4760,Completed
ORD-1236,2024-12-13,P004,R06,16,246.31,3940.96,3360,Completed
ORD-1237,2025-06-27,P009,R04,28,69.04,1933.12,1540,Cancelled
ORD-1238,2025-10-22,P003,R04,11,101.48,1116.28,935,Completed
ORD-1239,2025-09-08,P003,R02,16,122.01,1952.16,1360,Completed
ORD-1240,2025-04-20,P010,R08,46,199.81,9191.26,6440,Completed
ORD-1241,2025-10-12,P010,R06,57,174.28,9933.96,7980,Completed
ORD-1242,2025-04-25,P008,R05,19,126.11,2396.09,1805,Completed
ORD-1243,2024-03-16,P005,R08,25,406.45,10161.25,8750,Completed
ORD-1244,2024-10-20,P002,R02,49,159.39,7810.11,5880,Completed
ORD-1245,2025-08-17,P009,R01,29,78.25,2269.25,1595,Completed
ORD-1246,2024-07-11,P006,R08,32,77.69,2486.08,2080,Completed
ORD-1247,2024-04-15,P006,R02,30,87.35,2620.5,1950,Completed
ORD-1248,2025-12-25,P008,R08,56,124.15,6952.4,5320,Completed
ORD-1249,2025-01-16,P005,R07,25,483.82,12095.5,8750,Completed
ORD-1250,2024-02-23,P006,R02,17,76.59,1302.03,1105,Completed
ORD-1251,2024-10-17,P005,R03,27,411.06,11098.62,9450,Completed
ORD-1252,2024-12-24,P005,R07,14,464.98,6509.72,4900,Pending
ORD-1253,2024-11-13,P009,R07,58,76.31,4425.98,3190,Completed
ORD-1254,2025-11-17,P009,R02,66,74.31,4904.46,3630,Completed
ORD-1255,2024-01-19,P006,R05,10,93.3,933.0,650,Completed
ORD-1256,2025-05-12,P004,R04,11,251.26,2763.86,2310,Completed
ORD-1257,2024-04-13,P009,R01,39,68.81,2683.59,2145,Completed
ORD-1258,2024-05-14,P010,R07,11,167.81,1845.91,1540,Completed
ORD-1259,2025-10-01,P003,R08,5,108.23,541.15,425,Completed
ORD-1260,2024-08-31,P008,R05,42,130.58,5484.36,3990,Completed
ORD-1261,2025-06-30,P004,R05,38,298.45,11341.1,7980,Completed
ORD-1262,2025-11-25,P010,R08,48,193.32,9279.36,6720,Completed
ORD-1263,2025-05-29,P009,R07,13,76.73,997.49,715,Completed
ORD-1264,2024-05-21,P005,R01,43,452.96,19477.28,15050,Completed
ORD-1265,2024-04-15,P009,R02,18,64.63,1163.34,990,Completed
ORD-1266,2025-04-05,P009,R03,30,64.76,1942.8,1650,Pending
ORD-1267,2025-04-06,P006,R01,28,75.79,2122.12,1820,Completed
ORD-1268,2024-08-29,P007,R02,21,219.13,4601.73,3780,Completed
ORD-1269,2024-04-11,P006,R03,9,75.5,679.5,585,Pending
ORD-1270,2025-04-28,P003,R08,31,113.44,3516.64,2635,Pending
ORD-1271,2024-01-20,P005,R04,8,460.12,3680.96,2800,Completed
ORD-1272,2025-06-24,P007,R02,24,219.83,5275.92,4320,Completed
ORD-1273,2024-09-01,P007,R08,6,212.99,1277.94,1080,Pending
ORD-1274,2025-09-03,P009,R01,53,71.75,3802.75,2915,Completed
ORD-1275,2024-05-27,P005,R07,2,467.06,934.12,700,Completed
ORD-1276,2025-03-02,P003,R02,34,122.6,4168.4,2890,Completed
ORD-1277,2025-06-22,P009,R01,31,77.66,2407.46,1705,Completed
ORD-1278,2025-01-31,P006,R05,45,75.07,3378.15,2925,Completed
ORD-1279,2024-12-19,P004,R02,54,287.82,15542.28,11340,Completed
ORD-1280,2024-02-15,P006,R06,32,78.16,2501.12,2080,Completed
ORD-1281,2025-04-20,P008,R03,10,111.05,1110.5,950,Completed
ORD-1282,2025-04-13,P001,R05,14,52.34,732.76,630,Completed
ORD-1283,2024-02-12,P006,R05,25,82.52,2063.0,1625,Completed
ORD-1284,2025-04-29,P005,R01,51,470.42,23991.42,17850,Completed
ORD-1285,2024-02-18,P006,R05,6,90.34,542.04,390,Completed
ORD-1286,2025-02-13,P008,R07,19,137.0,2603.0,1805,Completed
ORD-1287,2025-05-24,P006,R05,8,88.93,711.44,520,Completed
ORD-1288,2025-09-08,P003,R05,27,100.37,2709.99,2295,Completed
ORD-1289,2024-10-29,P005,R08,48,477.85,22936.8,16800,Completed
ORD-1290,2025-03-30,P006,R08,3,88.92,266.76,195,Pending
ORD-1291,2025-09-21,P007,R05,53,259.92,13775.76,9540,Pending
ORD-1292,2024-03-17,P007,R06,28,250.26,7007.28,5040,Completed
ORD-1293,2024-02-01,P003,R08,3,100.97,302.91,255,Completed
ORD-1294,2025-10-22,P006,R06,35,93.26,3264.1,2275,Completed
ORD-1295,2024-06-06,P008,R06,26,121.9,3169.4,2470,Completed
ORD-1296,2024-05-20,P009,R06,27,68.44,1847.88,1485,Completed
ORD-1297,2024-04-26,P001,R03,29,58.74,1703.46,1305,Pending
ORD-1298,2024-04-30,P005,R05,42,449.36,18873.12,14700,
ORD-1299,2024-10-19,P008,R04,10,113.12,1131.2,950,Completed
ORD-1300,2024-06-25,P008,R02,47,136.83,6431.01,4465,Cancelled
ORD-1301,2025-11-14,P006,R02,57,85.32,4863.24,3705,Completed
ORD-1302,2024-06-10,P003,R06,35,103.47,3621.45,2975,Cancelled
ORD-1303,2024-05-22,P004,R08,3,264.24,792.72,630,Completed
ORD-1304,2025-04-23,P009,R03,42,77.84,3269.28,2310,Completed
ORD-1305,2025-02-11,P008,R07,24,132.72,3185.28,2280,Completed
ORD-1306,2024-11-20,P002,R08,41,162.48,6661.68,4920,Completed
ORD-1307,2025-07-18,P010,R03,10,179.17,1791.7,1400,Pending
ORD-1308,2024-02-26,P002,R03,15,143.93,2158.95,1800,Completed
ORD-1309,2025-12-27,P004,R06,56,297.88,16681.28,11760,Completed
ORD-1310,2024-09-13,P004,R05,11,280.88,3089.68,2310,Completed
ORD-1311,2024-04-05,P009,R03,35,78.79,2757.65,1925,Completed
ORD-1312,2025-11-05,P010,R06,58,162.73,9438.34,8120,Completed
ORD-1313,2024-03-24,P001,R05,36,54.6,1965.6,1620,Completed
ORD-1314,2025-09-24,P001,R08,53,59.12,3133.36,2385,Completed
ORD-1315,2024-11-05,P008,R04,60,120.82,7249.2,5700,Completed
ORD-1316,2025-12-06,P001,R03,48,57.36,2753.28,2160,Completed
ORD-1317,2024-12-14,P010,R03,30,197.18,5915.4,4200,Completed
ORD-1318,2024-12-19,P007,R03,70,227.01,15890.7,12600,Completed
ORD-1319,2024-11-22,P004,R08,12,258.35,3100.2,2520,Completed
ORD-1320,2024-04-09,P001,R05,23,63.42,1458.66,1035,Completed
ORD-1321,2024-06-12,P006,R06,14,89.63,1254.82,910,Completed
ORD-1322,2025-06-11,P008,R08,25,123.43,3085.75,2375,Completed
ORD-1323,2025-02-06,P009,R08,14,66.8,935.2,770,Completed
ORD-1324,2024-02-21,P005,R08,30,495.15,14854.5,10500,Completed
ORD-1325,2025-04-26,P005,R01,8,447.75,3582.0,2800,Completed
ORD-1326,2025-01-09,P007,R06,3,228.63,685.89,540,Completed
ORD-1327,2024-07-18,P006,R05,5,82.28,411.4,325,Completed
ORD-1328,2025-07-17,P005,R02,10,504.88,5048.8,3500,Completed
ORD-1329,2024-12-13,P009,R06,70,65.63,4594.1,3850,Completed
ORD-1330,2025-02-15,P009,R01,3,63.89,191.67,165,Completed
ORD-1331,2025-04-30,P009,R08,11,73.25,805.75,605,Completed
ORD-1332,2024-12-01,P010,R06,16,177.5,2840.0,2240,Completed
ORD-1333,2024-11-02,P010,R06,45,195.79,8810.55,6300,Completed
ORD-1334,2025-12-26,P010,R05,51,195.26,9958.26,7140,Completed
ORD-1335,2025-11-20,P002,R07,60,149.08,8944.8,7200,Completed
ORD-1336,2025-12-05,P001,R08,28,64.81,1814.68,1260,Completed
ORD-1337,2025-08-15,P010,R04,46,163.16,7505.36,6440,Completed
ORD-1338,2025-06-20,P010,R07,13,195.51,2541.63,1820,Completed
ORD-1339,2025-08-09,P002,R04,2,153.88,307.76,240,Completed
ORD-1340,2025-02-26,P004,R07,29,290.32,8419.28,6090,Pending
ORD-1341,2024-03-04,P003,R04,31,106.04,3287.24,2635,Completed
ORD-1342,2025-06-22,P007,R06,15,231.82,3477.3,2700,Completed
ORD-1343,2025-07-13,P006,R05,44,84.19,3704.36,2860,Cancelled
ORD-1344,2024-10-12,P009,R05,19,78.78,1496.82,1045,Cancelled
ORD-1345,2024-10-22,P004,R08,26,271.73,7064.98,5460,Completed
ORD-1346,2024-10-07,P005,R02,45,473.55,21309.75,15750,Completed
ORD-1347,2025-02-08,P006,R03,17,75.57,1284.69,1105,Cancelled
ORD-1348,2024-03-21,P006,R08,36,79.75,2871.0,2340,Completed
ORD-1349,2024-07-25,P009,R05,35,74.74,2615.9,1925,Completed
ORD-1350,2025-09-22,P010,R04,21,163.13,3425.73,2940,Pending
ORD-1351,2024-08-19,P004,R01,6,267.54,1605.24,1260,Completed
ORD-1352,2024-04-12,P003,R01,33,122.69,4048.77,2805,Completed
ORD-1353,2025-10-30,P008,R08,59,114.93,6780.87,5605,Cancelled
ORD-1354,2024-11-24,P005,R01,9,470.99,4238.91,3150,Completed
ORD-1355,2024-02-08,P003,R07,9,121.57,1094.13,765,Completed
ORD-1356,2025-02-10,P008,R03,42,136.67,5740.14,3990,Pending
ORD-1357,2024-02-08,P001,R05,28,59.89,1676.92,1260,Pending
ORD-1358,2024-12-09,P005,R08,60,459.55,27573.0,21000,Completed
ORD-1359,2024-05-17,P009,R08,19,66.43,1262.17,1045,Completed
ORD-1360,2024-06-15,P008,R05,49,114.56,5613.44,4655,Completed
ORD-1361,2024-10-29,P010,R04,15,186.66,2799.9,2100,Completed
ORD-1362,2025-02-19,P007,R06,6,228.64,1371.84,1080,Completed
ORD-1363,2024-05-23,P008,R06,17,109.44,1860.48,1615,Completed
ORD-1364,2025-04-02,P005,R06,21,463.66,9736.86,7350,Completed
ORD-1365,2024-09-24,P006,R04,5,87.77,438.85,325,Completed
ORD-1366,2024-06-12,P007,R05,48,213.34,10240.32,8640,Pending
ORD-1367,2024-10-29,P006,R04,19,93.42,1774.98,1235,Completed
ORD-1368,2025-04-10,P010,R06,28,190.48,5333.44,3920,Pending
